date,time,pressure,pressure_setpoint,mfc1_,mfc2_,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2020-03-17_13-30-24,26.382,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-26,26.415,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-28,26.449,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-30,26.481,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-32,26.515,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-34,26.548,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-36,26.581,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-38,26.615,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-40,26.649,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-42,26.681,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-44,26.715,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-46,26.749,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-48,26.782,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-50,26.815,,,,,4.881,2.0,,,,,,,,cupcts
2020-03-17_13-30-52,26.849,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-54,26.882,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-56,26.915,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-58,26.948,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-00,26.982,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-31-02,27.015,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-04,27.048,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-31-06,27.082,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-31-08,27.115,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-10,27.148,,,,,4.859,2.0,,,,,,,,cupcts
